city,lat,lon
Llucmajor,39.4439046,2.840129
Uceda,40.8432607,-3.4635907
Uceda ,40.8432607,-3.4635907
Hernan cortes,-27.4889735,-58.8494194
Alcala de los gazules,36.4618805,-5.7238891
Sallent ,41.83953425,1.9084348898481949
Zaratan,41.6594549,-4.7833204
Gijón ,43.5449422,-5.66275
Ceutí,38.0776952,-1.2741301
Reus,41.1555564,1.1076133
Pasajes de san pedro ,43.325412,-1.9257029
Puerto de mazarrón ,37.5644401,-1.260891
Carmena,39.9556215,-4.4014821
Hospitalet de llobregat,41.3598601,2.0997927
Casas de benítez,39.3625621,-2.1296318
L'hospitalet de llobregat,41.3598601,2.0997927
Sant climent de llobregat,41.3366993,1.9970575
La collada-siero,43.4374784,-5.6175291
Sant joan despí,41.3667951,2.0570346
Valdepeñas,38.7594573,-3.3847392
Alcantarilla,37.9680342,-1.214954
Pulpí ,37.401845,-1.7507642
Escucha,40.7940597,-0.8101306
Sabinillas ,36.3660129,-5.2286023
La unión ,15.11109265,-86.70201646061182
Malpartida de plasencia,39.9811621,-6.0437752
Alonsotegi,43.2460224,-2.9890455
Mostoles,40.3238525,-3.8649214
Pruvia - llanera,43.44256,-5.7871689
Casavieja,40.2814171,-4.7675329
Alaejos,41.3074062,-5.2160343
Castellón,40.25185675,-0.061505110105748245
Laguna de duero,41.582811,-4.7214404
El prat de llobregat ,41.3246333,2.0952568
Sant josep ,41.3609506,2.1103613
La muela,41.580472,-1.1161953
Caniles,37.4362471,-2.722409
Camprodon,42.3127896,2.364926
El boalo,40.7173359,-3.9202198
San asensio,42.4980158,-2.7498569
Algeciras,36.1311725,-5.4473991
Cassa de la selva,41.8874685,2.8742461
Ponteareas ,42.1740961,-8.5050963
Almería ,36.8414197,-2.4628135
Alacuás ,39.451886099999996,-0.46594601389286516
Aldaya,39.4647886,-0.4607604
Moraña,42.5891302,-8.5909801
Narón,43.5010981,-8.1923091
Solsona,41.9945762,1.5184038
Herrera,37.3653148,-4.8502348
Bailen,38.096787,-3.7765601
Lugo,43.0462247,-7.4739921
Lugones,43.4027677,-5.810479
Belmonte,39.5592831,-2.7038117
Segovia ,40.9502159,-4.1241494
Fontellas,42.0281362,-1.5761274
El vendrell,41.2199677,1.5348566
España,39.3260685,-4.8379791
Chiclana de la frontera,36.4191096,-6.1460683
Morón de la frontera,37.1215305,-5.4559583
Cerdanyola,41.5407677,2.4246123
Sant martí de centelles,41.754090399999995,2.219576225875367
Granollers,41.6079555,2.2876008
Mairena del aljarafe ,37.3444908,-6.0606771
Castilleja de la cuesta,37.3867839,-6.054127
Pedrezuela ,40.7451088,-3.6030185
Leganes ,40.3281942,-3.76527
Santa colomba de la vega,42.3211306,-5.905264
Tolosa,43.6044622,1.4442469
